Tag,Name,Description,Subsystem,Area,Unit,Kind,Min,Max,Precision,LL,L,H,HH,Suppressed by,Device,Modbus slave,Function,Register,Data type,Scale,Scope
"AIT-3002","Raw Water Turbidity","Optical 90° nephelometric, intake screen outlet","River Intake System","3000","NTU","analog","0","500","1","","","250","400","","DEV-INT-01","31","FC04 Input Register","2","uint16","0.1","in scope"
"AIT-3003","Raw Water pH","Glass electrode with ATC","River Intake System","3000","pH","analog","0","14","2","5.5","6","9","9.5","","DEV-INT-01","31","FC04 Input Register","4","uint16","0.01","in scope"
"AIT-3004","Raw Water TDS / EC","Salinity intrusion indicator — rises on flood tide","River Intake System","3000","ppm","analog","0","20000","0","","","5000","10000","","DEV-INT-01","31","FC04 Input Register","6","uint16","1","in scope"
"PT-3005","Intake Suction Pressure","Strainer blockage indicator","River Intake System","3000","bar","analog","-1","4","2","-0.6","-0.4","","","ZS-3008=0 AND ZS-3009=0","DEV-PMP-3001","32","FC04 Input Register","0","int16","0.01","in scope"
"VT-3006","Intake Pump Vibration","MEMS accelerometer, RMS velocity — ISO 10816 zone","River Intake System","3000","mm/s","analog","0","20","2","","","7.1","11","ZS-3008=0 AND ZS-3009=0","DEV-PMP-3001","32","FC04 Input Register","2","uint16","0.01","in scope"
"FT-3007","Raw Water Intake Flow","Electromagnetic flow meter, GI riser","River Intake System","3000","m³/h","analog","0","8","2","","","6","7.5","","DEV-INT-01","31","FC04 Input Register","8","uint16","0.01","in scope"
"ZS-3008","River Pump A Run","P-3001 run feedback","River Intake System","3000","","digital","0","1","0","","","","","","DEV-PMP-3001","32","FC02 Discrete Input","0","bool","1","in scope"
"ZS-3009","River Pump B Run","P-3002 run feedback","River Intake System","3000","","digital","0","1","0","","","","","","DEV-PMP-3002","33","FC02 Discrete Input","0","bool","1","in scope"
"LT-3010","Sedimentation Tank Level","12.5 m³, 24 h settling","River Intake System","3000","%","analog","0","100","1","8","15","95","99","","DEV-INT-01","31","FC04 Input Register","10","uint16","0.1","in scope"
"DPT-4001","Sand Filter Differential Pressure","3 units, 3–4 m³/h — backwash trigger at 1.0 bar","Filtration System","4000","bar","analog","0","2.5","2","","","0.8","1","","DEV-FLT-01","41","FC04 Input Register","0","uint16","0.01","in scope"
"DPT-4002","Multimedia Filter Differential Pressure","4 units, 3 m³/h — backwash trigger at 1.2 bar","Filtration System","4000","bar","analog","0","2.5","2","","","1","1.2","","DEV-FLT-01","41","FC04 Input Register","2","uint16","0.01","in scope"
"FT-4003","Filtered Water Flow","Treated water to intermediate storage","Filtration System","4000","m³/h","analog","0","6","2","","","4.5","5.5","","DEV-FLT-01","41","FC04 Input Register","4","uint16","0.01","in scope"
"PT-4004","Filter Feed Pressure","P-4001 discharge header","Filtration System","4000","bar","analog","0","6","2","0.8","1.2","3.8","4.5","ZS-4009=0","DEV-FLT-01","41","FC04 Input Register","6","uint16","0.01","in scope"
"AIT-4005","Filtered Water Turbidity","Post-multimedia — design target 1–5 NTU","Filtration System","4000","NTU","analog","0","50","2","","","5","10","","DEV-FLT-01","41","FC04 Input Register","8","uint16","0.01","in scope"
"AIT-4006","Residual Chlorine","Amperometric, post-dosing — MOH 0.2–5.0 mg/L","Filtration System","4000","mg/L","analog","0","5","2","0.15","0.2","2","3","","DEV-FLT-01","41","FC04 Input Register","10","uint16","0.01","in scope"
"ZS-4009","Filter Feed Pump Run","P-4001 run feedback","Filtration System","4000","","digital","0","1","0","","","","","","DEV-FLT-01","41","FC02 Discrete Input","0","bool","1","in scope"
"FT-4008","Polished Water Flow","Post-multimedia flow into clean water storage","Filtration System","4000","m³/h","analog","0","5","2","","","3.6","4.4","","DEV-FLT-01","41","FC04 Input Register","14","uint16","0.01","in scope"
"LT-4007","Intermediate Storage Level","10 m³ buffer between filter stages","Filtration System","4000","%","analog","0","100","1","10","20","96","99","","DEV-FLT-01","41","FC04 Input Register","12","uint16","0.1","in scope"
"PT-5001","RO Feed Pressure","Cartridge filter outlet","Desalination (RO) System","5000","bar","analog","0","10","2","1","1.5","6","7","","DEV-RO-01","51","FC04 Input Register","0","uint16","0.01","future"
"PT-5002","RO High-Pressure Feed","HP pump discharge to membrane vessels","Desalination (RO) System","5000","bar","analog","0","80","1","35","45","65","72","","DEV-RO-01","51","FC04 Input Register","2","uint16","0.1","future"
"FT-5003","Permeate Flow","Product water from membrane train","Desalination (RO) System","5000","L/h","analog","0","2000","0","400","600","","","","DEV-RO-01","51","FC04 Input Register","4","uint16","1","future"
"AIT-5004","RO Feed TDS","Membrane inlet salinity","Desalination (RO) System","5000","ppm","analog","0","20000","0","","","12000","15000","","DEV-RO-01","51","FC04 Input Register","6","uint16","1","future"
"AIT-5005","RO Permeate TDS","Product quality — WHO potable ≤ 500 ppm","Desalination (RO) System","5000","ppm","analog","0","1000","0","","","300","500","","DEV-RO-01","51","FC04 Input Register","8","uint16","1","future"
"TT-5006","RO Feed Temperature","Flux correction reference (25 °C basis)","Desalination (RO) System","5000","°C","analog","0","60","1","10","15","38","45","","DEV-RO-01","51","FC04 Input Register","10","int16","0.1","future"
"AIT-5007","RO Permeate Conductivity","Inline toroidal conductivity cell","Desalination (RO) System","5000","µS/cm","analog","0","2000","0","","","600","1000","","DEV-RO-01","51","FC04 Input Register","12","uint16","1","future"
"FT-5008","RO Reject / Brine Flow","Concentrate to discharge — recovery ratio input","Desalination (RO) System","5000","L/h","analog","0","3000","0","","","2400","2800","","DEV-RO-01","51","FC04 Input Register","14","uint16","1","future"
"LT-6001","Clean Water Tank 1 Level","600 gal HDPE, 2.27 m³","Clean Water Storage","6000","%","analog","0","100","1","10","20","97","99","","DEV-STO-01","61","FC04 Input Register","0","uint16","0.1","in scope"
"LT-6002","Clean Water Tank 2 Level","600 gal HDPE, 2.27 m³","Clean Water Storage","6000","%","analog","0","100","1","10","20","97","99","","DEV-STO-01","61","FC04 Input Register","2","uint16","0.1","in scope"
"LT-6003","Clean Water Tank 3 Level","600 gal HDPE, 2.27 m³","Clean Water Storage","6000","%","analog","0","100","1","10","20","97","99","","DEV-STO-01","61","FC04 Input Register","4","uint16","0.1","in scope"
"LT-6004","Clean Water Tank 4 Level","600 gal HDPE, 2.27 m³","Clean Water Storage","6000","%","analog","0","100","1","10","20","97","99","","DEV-STO-01","61","FC04 Input Register","6","uint16","0.1","in scope"
"LT-6005","Clean Water Tank 5 Level","600 gal HDPE, 2.27 m³","Clean Water Storage","6000","%","analog","0","100","1","10","20","97","99","","DEV-STO-01","61","FC04 Input Register","8","uint16","0.1","in scope"
"FT-6009","Storage Inlet Flow","Total treated water entering clean storage (river train + rainwater branch)","Clean Water Storage","6000","m³/h","analog","0","6","2","","","4.6","5.4","","DEV-STO-01","61","FC04 Input Register","16","uint16","0.01","in scope"
"FT-6006","Storage Outlet Flow","Common outlet header to distribution","Clean Water Storage","6000","m³/h","analog","0","8","2","","","6","7","","DEV-STO-01","61","FC04 Input Register","10","uint16","0.01","in scope"
"AIT-6007","Stored Water TDS","Potable quality check — MOH limit 1000 ppm","Clean Water Storage","6000","ppm","analog","0","2000","0","","","600","1000","","DEV-STO-01","61","FC04 Input Register","12","uint16","1","in scope"
"PT-6008","Storage Header Pressure","Gravity head + booster suction","Clean Water Storage","6000","bar","analog","0","6","2","0.3","0.6","3.5","4.5","","DEV-STO-01","61","FC04 Input Register","14","uint16","0.01","in scope"
"FT-7001","Distribution Main Flow","Main to school + 9 longhouses","Distribution System","7000","m³/h","analog","0","8","2","","","5.5","6.5","","DEV-DIS-01","71","FC04 Input Register","0","uint16","0.01","in scope"
"PT-7002","Distribution Pipe Pressure","Booster discharge — 2.5 bar setpoint","Distribution System","7000","bar","analog","0","6","2","0.8","1.5","3.5","4.2","ZS-7006=0","DEV-DIS-01","71","FC04 Input Register","2","uint16","0.01","in scope"
"FT-7003","School Branch Smart Meter","SK Bayang Daro branch — 66 students, 42 boarders","Distribution System","7000","m³/h","analog","0","4","2","","","3","3.5","","DEV-DIS-02","72","FC04 Input Register","0","uint16","0.01","in scope"
"FT-7004","Longhouse Branch Smart Meter","9 longhouses ≈ 100 pax","Distribution System","7000","m³/h","analog","0","4","2","","","3","3.5","","DEV-DIS-03","73","FC04 Input Register","0","uint16","0.01","in scope"
"XS-7005","Distribution Leak Detection","Night-flow + acoustic correlation on main","Distribution System","7000","","digital","0","1","0","","","","","","DEV-DIS-01","71","FC02 Discrete Input","0","bool","1","in scope"
"ZS-7006","Booster Pump Run","P-6001 run feedback","Distribution System","7000","","digital","0","1","0","","","","","","DEV-DIS-01","71","FC02 Discrete Input","1","bool","1","in scope"
"EM-8001","Battery Pack Voltage","16S LiFePO₄, 51.2 V nominal","Battery Management","8000","V","analog","40","60","2","44.8","48","57.6","58.4","","DEV-BMS-01","81","FC04 Input Register","0","uint16","0.01","in scope"
"EM-8002","Battery Current","Hall sensor (+ charge / − discharge)","Battery Management","8000","A","analog","-200","200","2","-150","-130","100","110","","DEV-BMS-01","81","FC04 Input Register","2","int16","0.01","in scope"
"EM-8003","Battery Power","Derived: pack V × I","Battery Management","8000","kW","analog","-8","8","2","","","","","","DEV-BMS-01","81","FC04 Input Register","4","int32","0.001","in scope"
"QT-8004","State of Charge","Coulomb-counting with OCV re-calibration","Battery Management","8000","%","analog","0","100","1","15","22","","","","DEV-BMS-01","81","FC04 Input Register","6","uint16","0.1","in scope"
"QT-8005","State of Health","Capacity fade vs 200 Ah nameplate","Battery Management","8000","%","analog","0","100","1","70","80","","","","DEV-BMS-01","81","FC04 Input Register","8","uint16","0.1","in scope"
"TT-8006","Cell Temperature (max)","Hottest of 4 pack NTC probes","Battery Management","8000","°C","analog","0","80","1","5","10","45","55","","DEV-BMS-01","81","FC04 Input Register","10","int16","0.1","in scope"
"QT-8007","Cell Voltage Imbalance","Δ between highest and lowest of 16 cells","Battery Management","8000","mV","analog","0","300","0","","","50","120","","DEV-BMS-01","81","FC04 Input Register","12","uint16","1","in scope"
"QT-8008","Equivalent Full Cycles","Throughput ÷ nameplate capacity (design life 6000)","Battery Management","8000","cyc","analog","0","8000","0","","","5500","6000","","DEV-BMS-01","81","FC04 Input Register","14","uint32","1","in scope"
"QT-8101","Cell 1 Voltage","LiFePO₄ cell 1 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","100","uint16","0.001","in scope"
"QT-8102","Cell 2 Voltage","LiFePO₄ cell 2 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","102","uint16","0.001","in scope"
"QT-8103","Cell 3 Voltage","LiFePO₄ cell 3 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","104","uint16","0.001","in scope"
"QT-8104","Cell 4 Voltage","LiFePO₄ cell 4 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","106","uint16","0.001","in scope"
"QT-8105","Cell 5 Voltage","LiFePO₄ cell 5 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","108","uint16","0.001","in scope"
"QT-8106","Cell 6 Voltage","LiFePO₄ cell 6 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","110","uint16","0.001","in scope"
"QT-8107","Cell 7 Voltage","LiFePO₄ cell 7 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","112","uint16","0.001","in scope"
"QT-8108","Cell 8 Voltage","LiFePO₄ cell 8 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","114","uint16","0.001","in scope"
"QT-8109","Cell 9 Voltage","LiFePO₄ cell 9 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","116","uint16","0.001","in scope"
"QT-8110","Cell 10 Voltage","LiFePO₄ cell 10 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","118","uint16","0.001","in scope"
"QT-8111","Cell 11 Voltage","LiFePO₄ cell 11 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","120","uint16","0.001","in scope"
"QT-8112","Cell 12 Voltage","LiFePO₄ cell 12 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","122","uint16","0.001","in scope"
"QT-8113","Cell 13 Voltage","LiFePO₄ cell 13 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","124","uint16","0.001","in scope"
"QT-8114","Cell 14 Voltage","LiFePO₄ cell 14 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","126","uint16","0.001","in scope"
"QT-8115","Cell 15 Voltage","LiFePO₄ cell 15 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","128","uint16","0.001","in scope"
"QT-8116","Cell 16 Voltage","LiFePO₄ cell 16 of 16","Battery Management","8000","V","analog","2.5","3.8","3","2.8","3","3.55","3.65","","DEV-BMS-01","81","FC04 Input Register","130","uint16","0.001","in scope"
"TT-8101","Pack Temp Probe 1","NTC probe 1 of 4","Battery Management","8000","°C","analog","0","80","1","5","10","45","55","","DEV-BMS-01","81","FC04 Input Register","140","int16","0.1","in scope"
"TT-8102","Pack Temp Probe 2","NTC probe 2 of 4","Battery Management","8000","°C","analog","0","80","1","5","10","45","55","","DEV-BMS-01","81","FC04 Input Register","142","int16","0.1","in scope"
"TT-8103","Pack Temp Probe 3","NTC probe 3 of 4","Battery Management","8000","°C","analog","0","80","1","5","10","45","55","","DEV-BMS-01","81","FC04 Input Register","144","int16","0.1","in scope"
"TT-8104","Pack Temp Probe 4","NTC probe 4 of 4","Battery Management","8000","°C","analog","0","80","1","5","10","45","55","","DEV-BMS-01","81","FC04 Input Register","146","int16","0.1","in scope"
